column_name,brand_id,brand_name,question_code,attribute_name
Q1Q2. Total aided awareness_OLong Tea Plus.1,8,OLong Tea Plus,Q1Q2.Aided,.1
Q1Q2. Total aided awareness_OLong Tea Plus vị chanh,9,OLong Tea Plus vị chanh,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà xanh matcha Tea Plus,10,Trà xanh matcha Tea Plus,Q1Q2.Aided,
Q1Q2. Total aided awareness_Không Độ,11,Không Độ,Q1Q2.Aided,
Q1Q2. Total aided awareness_Không Độ - Không xác định,12,Không Độ - Không xác định,Q1Q2.Aided,
Q1Q2. Total aided awareness_Không Độ - Vị chanh,13,Không Độ - Vị chanh,Q1Q2.Aided,
Q1Q2. Total aided awareness_Không Độ - Bí đao,14,Không Độ - Bí đao,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà Cozy đóng chai,15,Trà Cozy đóng chai,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà Cozy Olong Xoài,16,Trà Cozy Olong Xoài,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà Cozy Vải,17,Trà Cozy Vải,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà Cozy Đào Sả,18,Trà Cozy Đào Sả,Q1Q2.Aided,
Q1Q2. Total aided awareness_Dr. Thanh,19,Dr. Thanh,Q1Q2.Aided,
Q1Q2. Total aided awareness_Dr. Thanh - Không xác định,20,Dr. Thanh - Không xác định,Q1Q2.Aided,
Q1Q2. Total aided awareness_Dr. Thanh - Có đường,21,Dr. Thanh - Có đường,Q1Q2.Aided,
Q1Q2. Total aided awareness_Dr. Thanh - Không đường,22,Dr. Thanh - Không đường,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà Tea Go,23,Trà Tea Go,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà Tea Go – Vị Đào,24,Trà Tea Go – Vị Đào,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà Tea Go – Vị Chanh,25,Trà Tea Go – Vị Chanh,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà sữa ít đường Vinamilk Happy Milktea,261,Trà sữa ít đường Vinamilk Happy Milktea,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà sữa ít đường Vinamilk Happy Milktea.1,261,Trà sữa ít đường Vinamilk Happy Milktea,Q1Q2.Aided,.1
Q1Q2. Total aided awareness_Trà lá vối Seventy,271,Trà lá vối Seventy,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà lá vối Seventy.1,271,Trà lá vối Seventy,Q1Q2.Aided,.1
Q1Q2. Total aided awareness_Trà thảo mộc VietFuji,2000,Trà thảo mộc VietFuji,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà sữa không độ/ Trà sữa Macchiato,3001,Trà sữa không độ/ Trà sữa Macchiato,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà sữa không độ/ Trà sữa Macchiato.1,3001,Trà sữa không độ/ Trà sữa Macchiato,Q1Q2.Aided,.1
Q1Q2. Total aided awareness_Trà TH True Tea,5000,Trà TH True Tea,Q1Q2.Aided,
Q1Q2. Total aided awareness_TH True Tea – Trà Oolong Tự Nhiên,5001,TH True Tea – Trà Oolong Tự Nhiên,Q1Q2.Aided,
Q1Q2. Total aided awareness_TH True Tea – Trà xanh vị chanh Tự Nhiên,5002,TH True Tea – Trà xanh vị chanh Tự Nhiên,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà mật ong Boncha,6001,Trà mật ong Boncha,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà mật ong Boncha.1,6001,Trà mật ong Boncha,Q1Q2.Aided,.1
Q1Q2. Total aided awareness_Trà mật ong Boncha vị chanh,6002,Trà mật ong Boncha vị chanh,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà Jokky,7000,Trà Jokky,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà Jokky chanh sả,7001,Trà Jokky chanh sả,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà Jokky vị Đào,7002,Trà Jokky vị Đào,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà Jokky sâm,7003,Trà Jokky sâm,Q1Q2.Aided,
Q1Q2. Total aided awareness_Trà sữa C2,8000,Trà sữa C2,Q1Q2.Aided,
Q1Q2. Total aided awareness_Búp non 365,9000,Búp non 365,Q1Q2.Aided,
Q1Q2. Total aided awareness_Búp non 365 hương đào,9001,Búp non 365 hương đào,Q1Q2.Aided,
Q1Q2. Total aided awareness_Búp non 365 chanh sả,9002,Búp non 365 chanh sả,Q1Q2.Aided,
Q1Q2. Total aided awareness_Búp non 365 mật ong,9003,Búp non 365 mật ong,Q1Q2.Aided,
Q1Q2. Total aided awareness_Búp non 365 mãng cầu,9004,Búp non 365 mãng cầu,Q1Q2.Aided,
Q3. P3M _C2,1,C2,Q3.P3M,
Q3. P3M _OLong Tea Plus,8,OLong Tea Plus,Q3.P3M,
Q3. P3M _Không Độ,11,Không Độ,Q3.P3M,
Q3. P3M _Trà Cozy đóng chai,15,Trà Cozy đóng chai,Q3.P3M,
Q3. P3M _Dr. Thanh,19,Dr. Thanh,Q3.P3M,
Q3. P3M _Trà Tea Go,23,Trà Tea Go,Q3.P3M,
Q3. P3M _Trà sữa ít đường Vinamilk Happy Milktea,261,Trà sữa ít đường Vinamilk Happy Milktea,Q3.P3M,
Q3. P3M _Trà lá vối Seventy,271,Trà lá vối Seventy,Q3.P3M,
Q3. P3M _Trà thảo mộc VietFuji,2000,Trà thảo mộc VietFuji,Q3.P3M,
Q3. P3M _Trà sữa không độ/ Trà sữa Macchiato,3001,Trà sữa không độ/ Trà sữa Macchiato,Q3.P3M,
Q3. P3M _Trà TH True Tea,5000,Trà TH True Tea,Q3.P3M,
Q3. P3M _Trà mật ong Boncha,6001,Trà mật ong Boncha,Q3.P3M,
Q3. P3M _Trà Jokky,7000,Trà Jokky,Q3.P3M,
Q3. P3M _Trà sữa C2,8000,Trà sữa C2,Q3.P3M,
Q3. P3M _Búp non 365,9000,Búp non 365,Q3.P3M,
Q4. P4W_C2,1,C2,Q4.P4W,
Q4. P4W_C2 - Không xác định,2,C2 - Không xác định,Q4.P4W,
Q4. P4W_C2 - Vị chanh,3,C2 - Vị chanh,Q4.P4W,
Q4. P4W_C2 - Vị táo,4,C2 - Vị táo,Q4.P4W,
Q4. P4W_C2 - Vị đào,34,C2 - Vị đào,Q4.P4W,
Q4. P4W_C2 - Olong Hoa hồng,5,C2 - Olong Hoa hồng,Q4.P4W,
Q4. P4W_C2 - Olong Chanh,6,C2 - Olong Chanh,Q4.P4W,
Q4. P4W_C2 – Hồng Trà,29,C2 – Hồng Trà,Q4.P4W,
Q4. P4W_C2 – Hồng Trà Đào,30,C2 – Hồng Trà Đào,Q4.P4W,
Q4. P4W_C2 – Hồng Trà Vải,33,C2 – Hồng Trà Vải,Q4.P4W,
Q4. P4W_C2 – Freeze Hương chanh tuyết bạc hà,35,C2 – Freeze Hương chanh tuyết bạc hà,Q4.P4W,
Q4. P4W_C2 – Freeze Hương dâu anh đào,37,C2 – Freeze Hương dâu anh đào,Q4.P4W,
Q4. P4W_C2 – Dưa lưới,38,C2 – Dưa lưới,Q4.P4W,
Q4. P4W_OLong Tea Plus,8,OLong Tea Plus,Q4.P4W,
Q4. P4W_OLong Tea Plus.1,8,OLong Tea Plus,Q4.P4W,.1
Q4. P4W_OLong Tea Plus vị chanh,9,OLong Tea Plus vị chanh,Q4.P4W,
Q4. P4W_Trà xanh matcha Tea Plus,10,Trà xanh matcha Tea Plus,Q4.P4W,
Q4. P4W_Không Độ,11,Không Độ,Q4.P4W,
Q4. P4W_Không Độ - Không xác định,12,Không Độ - Không xác định,Q4.P4W,
Q4. P4W_Không Độ - Vị chanh,13,Không Độ - Vị chanh,Q4.P4W,
Q4. P4W_Không Độ - Bí đao,14,Không Độ - Bí đao,Q4.P4W,
Q4. P4W_Trà Cozy đóng chai,15,Trà Cozy đóng chai,Q4.P4W,
Q4. P4W_Trà Cozy Olong Xoài,16,Trà Cozy Olong Xoài,Q4.P4W,
Q4. P4W_Trà Cozy Vải,17,Trà Cozy Vải,Q4.P4W,
Q4. P4W_Trà Cozy Đào Sả,18,Trà Cozy Đào Sả,Q4.P4W,
Q4. P4W_Dr. Thanh,19,Dr. Thanh,Q4.P4W,
Q4. P4W_Dr. Thanh - Không xác định,20,Dr. Thanh - Không xác định,Q4.P4W,
Q4. P4W_Dr. Thanh - Có đường,21,Dr. Thanh - Có đường,Q4.P4W,
Q4. P4W_Dr. Thanh - Không đường,22,Dr. Thanh - Không đường,Q4.P4W,
Q4. P4W_Trà Tea Go,23,Trà Tea Go,Q4.P4W,
Q4. P4W_Trà Tea Go – Vị Đào,24,Trà Tea Go – Vị Đào,Q4.P4W,
Q4. P4W_Trà Tea Go – Vị Chanh,25,Trà Tea Go – Vị Chanh,Q4.P4W,
Q4. P4W_Trà sữa ít đường Vinamilk Happy Milktea,261,Trà sữa ít đường Vinamilk Happy Milktea,Q4.P4W,
Q4. P4W_Trà sữa ít đường Vinamilk Happy Milktea.1,261,Trà sữa ít đường Vinamilk Happy Milktea,Q4.P4W,.1
Q4. P4W_Trà lá vối Seventy,271,Trà lá vối Seventy,Q4.P4W,
Q4. P4W_Trà lá vối Seventy.1,271,Trà lá vối Seventy,Q4.P4W,.1
Q4. P4W_Trà thảo mộc VietFuji,2000,Trà thảo mộc VietFuji,Q4.P4W,
Q4. P4W_Trà sữa không độ/ Trà sữa Macchiato,3001,Trà sữa không độ/ Trà sữa Macchiato,Q4.P4W,
Q4. P4W_Trà sữa không độ/ Trà sữa Macchiato.1,3001,Trà sữa không độ/ Trà sữa Macchiato,Q4.P4W,.1
Q4. P4W_Trà TH True Tea,5000,Trà TH True Tea,Q4.P4W,
Q4. P4W_TH True Tea – Trà Oolong Tự Nhiên,5001,TH True Tea – Trà Oolong Tự Nhiên,Q4.P4W,
Q4. P4W_TH True Tea – Trà xanh vị chanh Tự Nhiên,5002,TH True Tea – Trà xanh vị chanh Tự Nhiên,Q4.P4W,
Q4. P4W_Trà mật ong Boncha,6001,Trà mật ong Boncha,Q4.P4W,
Q4. P4W_Trà mật ong Boncha.1,6001,Trà mật ong Boncha,Q4.P4W,.1
Q4. P4W_Trà mật ong Boncha vị chanh,6002,Trà mật ong Boncha vị chanh,Q4.P4W,
Q4. P4W_Trà Jokky,7000,Trà Jokky,Q4.P4W,
Q4. P4W_Trà Jokky chanh sả,7001,Trà Jokky chanh sả,Q4.P4W,
Q4. P4W_Trà Jokky vị Đào,7002,Trà Jokky vị Đào,Q4.P4W,
Q4. P4W_Trà Jokky sâm,7003,Trà Jokky sâm,Q4.P4W,
Q4. P4W_Trà sữa C2,8000,Trà sữa C2,Q4.P4W,
Q4. P4W_Búp non 365,9000,Búp non 365,Q4.P4W,
Q4. P4W_Búp non 365 hương đào,9001,Búp non 365 hương đào,Q4.P4W,
Q4. P4W_Búp non 365 chanh sả,9002,Búp non 365 chanh sả,Q4.P4W,
Q4. P4W_Búp non 365 mật ong,9003,Búp non 365 mật ong,Q4.P4W,
Q4. P4W_Búp non 365 mãng cầu,9004,Búp non 365 mãng cầu,Q4.P4W,
Q6 - C2,1,C2,Q6,
Q6 - OLong Tea Plus,8,OLong Tea Plus,Q6,
Q6 - Không Độ,11,Không Độ,Q6,
Q6 - Trà Cozy đóng chai,15,Trà Cozy đóng chai,Q6,
Q6 - Dr. Thanh,19,Dr. Thanh,Q6,
Q6 - Trà Tea Go,23,Trà Tea Go,Q6,
Q6 - Trà sữa ít đường Vinamilk Happy Milktea,261,Trà sữa ít đường Vinamilk Happy Milktea,Q6,
Q6 - Trà lá vối Seventy,271,Trà lá vối Seventy,Q6,
Q6 - Trà thảo mộc VietFuji,2000,Trà thảo mộc VietFuji,Q6,
Q6 - Trà sữa không độ/ Trà sữa Macchiato,3001,Trà sữa không độ/ Trà sữa Macchiato,Q6,
Q6 - Trà TH True Tea,5000,Trà TH True Tea,Q6,
Q6 - Trà mật ong Boncha,6001,Trà mật ong Boncha,Q6,
Q6 - Trà Jokky,7000,Trà Jokky,Q6,
Q6 - Trà sữa C2,8000,Trà sữa C2,Q6,
Q6 - Búp non 365,9000,Búp non 365,Q6,
Q4Q8.BRAND CONSIDERATION SET_C2,1,C2,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_OLong Tea Plus,8,OLong Tea Plus,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_Không Độ,11,Không Độ,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_Trà Cozy đóng chai,15,Trà Cozy đóng chai,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_Dr. Thanh,19,Dr. Thanh,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_Trà Tea Go,23,Trà Tea Go,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_Trà sữa ít đường Vinamilk Happy Milktea,261,Trà sữa ít đường Vinamilk Happy Milktea,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_Trà lá vối Seventy,271,Trà lá vối Seventy,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_Trà thảo mộc VietFuji,2000,Trà thảo mộc VietFuji,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_Trà sữa không độ/ Trà sữa Macchiato,3001,Trà sữa không độ/ Trà sữa Macchiato,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_Trà TH True Tea,5000,Trà TH True Tea,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_Trà mật ong Boncha,6001,Trà mật ong Boncha,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_Trà Jokky,7000,Trà Jokky,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_Trà sữa C2,8000,Trà sữa C2,Q4Q8.Consideration,
Q4Q8.BRAND CONSIDERATION SET_Búp non 365,9000,Búp non 365,Q4Q8.Consideration,
QI - C2_Những thương hiệu được ưa chuộng và phổ biến,1,C2,QI.Imagery,Những thương hiệu được ưa chuộng và phổ biến
QI - C2_Bao bì có thiết kế thu hút,1,C2,QI.Imagery,Bao bì có thiết kế thu hút
QI - C2_Nhãn hiệu đáng tin cậy,1,C2,QI.Imagery,Nhãn hiệu đáng tin cậy
QI - C2_Giá cả hợp lý với chất lượng mang lại,1,C2,QI.Imagery,Giá cả hợp lý với chất lượng mang lại
QI - C2_Phù hợp để thưởng thức hàng ngày,1,C2,QI.Imagery,Phù hợp để thưởng thức hàng ngày
QI - C2_Làm dịu cơn khát,1,C2,QI.Imagery,Làm dịu cơn khát
QI - C2_Vị ngon mà tôi yêu thích,1,C2,QI.Imagery,Vị ngon mà tôi yêu thích
"QI - C2_Thương hiệu mang tính hiện đại, trẻ trung",1,C2,QI.Imagery,"Thương hiệu mang tính hiện đại, trẻ trung"
QI - C2_Sản xuất từ nguyên liệu tự nhiên,1,C2,QI.Imagery,Sản xuất từ nguyên liệu tự nhiên
QI - C2_Mang đến sự vui tươi và lạc quan,1,C2,QI.Imagery,Mang đến sự vui tươi và lạc quan
QI - C2_Có lợi cho sức khỏe,1,C2,QI.Imagery,Có lợi cho sức khỏe
QI - C2_Giúp giảm căng thẳng và mệt mỏi,1,C2,QI.Imagery,Giúp giảm căng thẳng và mệt mỏi
QI - C2_Mang lại cảm giác thư giãn,1,C2,QI.Imagery,Mang lại cảm giác thư giãn
QI - C2_Giải nhiệt cuộc sống,1,C2,QI.Imagery,Giải nhiệt cuộc sống
QI - C2_Tạo cảm giác sảng khoái,1,C2,QI.Imagery,Tạo cảm giác sảng khoái
QI - C2_Tái tạo năng lượng,1,C2,QI.Imagery,Tái tạo năng lượng
QI - C2_Có nhiều vị để lựa chọn,1,C2,QI.Imagery,Có nhiều vị để lựa chọn
QI - C2_Mang đến cảm giác tươi mát,1,C2,QI.Imagery,Mang đến cảm giác tươi mát
QI - C2_DK/NA,1,C2,QI.Imagery,DK/NA
QI - OLong Tea Plus_Những thương hiệu được ưa chuộng và phổ biến,8,OLong Tea Plus,QI.Imagery,Những thương hiệu được ưa chuộng và phổ biến
QI - OLong Tea Plus_Bao bì có thiết kế thu hút,8,OLong Tea Plus,QI.Imagery,Bao bì có thiết kế thu hút
QI - OLong Tea Plus_Nhãn hiệu đáng tin cậy,8,OLong Tea Plus,QI.Imagery,Nhãn hiệu đáng tin cậy
QI - OLong Tea Plus_Giá cả hợp lý với chất lượng mang lại,8,OLong Tea Plus,QI.Imagery,Giá cả hợp lý với chất lượng mang lại
QI - OLong Tea Plus_Phù hợp để thưởng thức hàng ngày,8,OLong Tea Plus,QI.Imagery,Phù hợp để thưởng thức hàng ngày
QI - OLong Tea Plus_Làm dịu cơn khát,8,OLong Tea Plus,QI.Imagery,Làm dịu cơn khát
QI - OLong Tea Plus_Vị ngon mà tôi yêu thích,8,OLong Tea Plus,QI.Imagery,Vị ngon mà tôi yêu thích
"QI - OLong Tea Plus_Thương hiệu mang tính hiện đại, trẻ trung",8,OLong Tea Plus,QI.Imagery,"Thương hiệu mang tính hiện đại, trẻ trung"
QI - OLong Tea Plus_Sản xuất từ nguyên liệu tự nhiên,8,OLong Tea Plus,QI.Imagery,Sản xuất từ nguyên liệu tự nhiên
QI - OLong Tea Plus_Mang đến sự vui tươi và lạc quan,8,OLong Tea Plus,QI.Imagery,Mang đến sự vui tươi và lạc quan
QI - OLong Tea Plus_Có lợi cho sức khỏe,8,OLong Tea Plus,QI.Imagery,Có lợi cho sức khỏe
QI - OLong Tea Plus_Giúp giảm căng thẳng và mệt mỏi,8,OLong Tea Plus,QI.Imagery,Giúp giảm căng thẳng và mệt mỏi
QI - OLong Tea Plus_Mang lại cảm giác thư giãn,8,OLong Tea Plus,QI.Imagery,Mang lại cảm giác thư giãn
QI - OLong Tea Plus_Giải nhiệt cuộc sống,8,OLong Tea Plus,QI.Imagery,Giải nhiệt cuộc sống
QI - OLong Tea Plus_Tạo cảm giác sảng khoái,8,OLong Tea Plus,QI.Imagery,Tạo cảm giác sảng khoái
QI - OLong Tea Plus_Tái tạo năng lượng,8,OLong Tea Plus,QI.Imagery,Tái tạo năng lượng
QI - OLong Tea Plus_Có nhiều vị để lựa chọn,8,OLong Tea Plus,QI.Imagery,Có nhiều vị để lựa chọn
QI - OLong Tea Plus_Mang đến cảm giác tươi mát,8,OLong Tea Plus,QI.Imagery,Mang đến cảm giác tươi mát
QI - OLong Tea Plus_DK/NA,8,OLong Tea Plus,QI.Imagery,DK/NA
QI - Không Độ_Những thương hiệu được ưa chuộng và phổ biến,11,Không Độ,QI.Imagery,Những thương hiệu được ưa chuộng và phổ biến
QI - Không Độ_Bao bì có thiết kế thu hút,11,Không Độ,QI.Imagery,Bao bì có thiết kế thu hút
QI - Không Độ_Nhãn hiệu đáng tin cậy,11,Không Độ,QI.Imagery,Nhãn hiệu đáng tin cậy
QI - Không Độ_Giá cả hợp lý với chất lượng mang lại,11,Không Độ,QI.Imagery,Giá cả hợp lý với chất lượng mang lại
QI - Không Độ_Phù hợp để thưởng thức hàng ngày,11,Không Độ,QI.Imagery,Phù hợp để thưởng thức hàng ngày
QI - Không Độ_Làm dịu cơn khát,11,Không Độ,QI.Imagery,Làm dịu cơn khát
QI - Không Độ_Vị ngon mà tôi yêu thích,11,Không Độ,QI.Imagery,Vị ngon mà tôi yêu thích
"QI - Không Độ_Thương hiệu mang tính hiện đại, trẻ trung",11,Không Độ,QI.Imagery,"Thương hiệu mang tính hiện đại, trẻ trung"
QI - Không Độ_Sản xuất từ nguyên liệu tự nhiên,11,Không Độ,QI.Imagery,Sản xuất từ nguyên liệu tự nhiên
QI - Không Độ_Mang đến sự vui tươi và lạc quan,11,Không Độ,QI.Imagery,Mang đến sự vui tươi và lạc quan
QI - Không Độ_Có lợi cho sức khỏe,11,Không Độ,QI.Imagery,Có lợi cho sức khỏe
QI - Không Độ_Giúp giảm căng thẳng và mệt mỏi,11,Không Độ,QI.Imagery,Giúp giảm căng thẳng và mệt mỏi
QI - Không Độ_Mang lại cảm giác thư giãn,11,Không Độ,QI.Imagery,Mang lại cảm giác thư giãn
